Prediction,Actual,Explanation
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Marital Status, Work Phone, -0.82, Car Ownership, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Marital Status, -0.82, Work Phone, Car Ownership, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Marital Status, Work Phone, -0.82, Car Ownership, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Marital Status, Work Phone, -0.82, Car Ownership, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Marital Status, Work Phone, Car Ownership, -0.82, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Email, Marital Status, Work Phone, -0.82, Car Ownership, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Marital Status, -0.82, Work Phone, Car Ownership, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Marital Status, Housing Type, Work Phone, -0.82, Car Ownership, Phone, Family Size, Age (Days), -0.77."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, Marital Status, Work Phone, -0.82, Car Ownership, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.82, Work Phone, Car Ownership, Phone, Family Size, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.13, Work Phone, -0.82, Car Ownership, Phone, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.82, Work Phone, Car Ownership, Phone, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.82, Work Phone, Car Ownership, Phone, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.13, Work Phone, -0.82, Car Ownership, Phone, Family Size, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Occupation, Phone, Family Size, Education Level, -0.15."
Denied,Denied,"This application was denied due to Marital Status, -0.13, Work Phone, -0.82, Car Ownership, Education Level."
Denied,Denied,"This application was denied due to Marital Status, -0.13, Work Phone, -0.82, Car Ownership, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Phone, Occupation, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, Car Ownership, Occupation, Phone, Family Size, -0.85."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Marital Status, Work Phone, Phone, Education Level, Occupation, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Education Level, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Income Category, Email, -0.13, Work Phone, Number of Children, Phone, -0.85, Education Level."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Education Level, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Education Level, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, -0.85, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Education Level, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Income Category, -0.13, Number of Children, Work Phone, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Email, -0.13, Work Phone, Phone, Number of Children, -0.85, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, -0.13, Work Phone, Number of Children, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Income Category, -0.13, Work Phone, Phone, Number of Children, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, -0.57, -0.82, Phone, -0.15, Family Size, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Marital Status, -0.57, Work Phone, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, -0.57, -0.82, Phone, -0.15, Annual Income, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, -0.57, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Marital Status, Work Phone, -0.57, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Marital Status, Housing Type, Work Phone, -0.82, -0.57, Phone, Family Size, -0.15, Annual Income."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Marital Status, Work Phone, -0.82, -0.57, Phone, -0.15, Annual Income."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Email, Marital Status, Work Phone, -0.57, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, Work Phone, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, -0.82, -0.57, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, Work Phone, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, Work Phone, -0.82, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Marital Status, Housing Type, Work Phone, -0.57, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Email, Marital Status, -0.57, Work Phone, -0.82, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.57, Work Phone, -0.82, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Phone, Family Size, Education Level."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.82, Car Ownership, -0.27, Phone, Family Size, Education Level, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Phone, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Work Phone, Car Ownership, Education Level, Phone, Occupation, Family Size, -0.15."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Income Category, -0.57, Car Ownership, Work Phone, Phone, -0.27, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Work Phone, Car Ownership, -0.57, -0.27, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, -0.57, Phone, Work Phone, Car Ownership, Age (Days), -0.27, -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, -0.57, Work Phone, Car Ownership, -0.27, Age (Days), Phone, -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, -0.57, Work Phone, Car Ownership, -0.27, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Work Phone, -0.57, Car Ownership, -0.27, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, -0.57, Work Phone, Car Ownership, -0.27, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Work Phone, -0.57, Car Ownership, -0.27, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, -0.57, Car Ownership, Work Phone, Phone, -0.27, Age (Days), -0.20."
Denied,Denied,"This application was denied due to Email, -0.13, Housing Type, Work Phone, -0.27, Car Ownership, Occupation, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Work Phone, -0.13, Car Ownership, -0.27, Occupation, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, -0.13, Work Phone, -0.27, Car Ownership, Phone, Occupation, -0.15, Family Size."
Denied,Denied,"This application was denied due to Housing Type, Email, -0.13, Work Phone, Car Ownership, -0.27, Occupation, Phone, -0.15."
Denied,Denied,"This application was denied due to Email, Housing Type, Work Phone, -0.13, Car Ownership, -0.27, Phone, Occupation, Family Size, -0.15."
Denied,Denied,"This application was denied due to Email, -0.13, Housing Type, Work Phone, Car Ownership, -0.27, Phone, Occupation, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, Work Phone, -0.82, Car Ownership, -0.27, Education Level, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Work Phone, -0.13, -0.82, Car Ownership, -0.27, Education Level, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, Work Phone, -0.82, Car Ownership, Age (Days), -0.27, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Marital Status, -0.82, Car Ownership, Work Phone, -0.27, Age (Days), Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, -0.82, Work Phone, Car Ownership, Education Level, -0.27, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, -0.13, Housing Type, Marital Status, -0.82, Work Phone, Car Ownership, -0.27, Age (Days), Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, -0.82, Work Phone, Car Ownership, -0.27, Age (Days), Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Marital Status, -0.13, -0.82, Work Phone, -0.27, Car Ownership, Education Level, Family Size, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Marital Status, -0.82, Car Ownership, Work Phone, -0.27, Age (Days), Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, Work Phone, -0.82, Car Ownership, Education Level, -0.27, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Marital Status, Work Phone, -0.82, Car Ownership, -0.27, Age (Days), Family Size, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, -0.13, Work Phone, -0.82, Car Ownership, -0.27, Age (Days), Education Level."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, -1.62, Employment Duration (Days), Income Category, Work Phone, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Income Category, Employment Duration (Days), Work Phone, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Phone."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Housing Type, Work Phone, -0.82, Car Ownership, Education Level, Phone, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Housing Type, Work Phone, -0.82, Car Ownership, Age (Days), Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Email, Work Phone, Number of Children, -0.82, Phone, Age (Days), Education Level."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, -0.82, Work Phone, Number of Children, Phone, Age (Days), Education Level."
Denied,Denied,"This application was denied due to Email, Housing Type, Employment Duration (Days), -0.57, -0.82, Car Ownership, -0.20, Age (Days), -0.61."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Number of Children, Phone, Education Level, Age (Days)."
Denied,Denied,"This application was denied due to Income Category, Housing Type, -0.13, Marital Status, Work Phone, Occupation, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, -0.13, Marital Status, Work Phone, Occupation, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, -0.13, Marital Status, Work Phone, Occupation, Education Level, Family Size, -0.85."
Denied,Denied,"This application was denied due to Income Category, Housing Type, Marital Status, -0.13, Work Phone, Occupation, Education Level, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, Marital Status, Work Phone, -0.13, Occupation, -0.85, Education Level."
Denied,Denied,"This application was denied due to Income Category, Marital Status, Housing Type, -0.13, Work Phone, Education Level, Occupation, -0.85, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, -0.13, Marital Status, Work Phone, Occupation, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Housing Type, Income Category, -0.13, Marital Status, Work Phone, Occupation, -0.85, -0.77, Education Level, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, Marital Status, -0.13, Work Phone, Occupation, Education Level, -0.85, Family Size."
Denied,Denied,"This application was denied due to Income Category, Marital Status, Housing Type, -0.13, Work Phone, Education Level, -0.85, Occupation, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, -0.13, Marital Status, Work Phone, Occupation, Education Level, Family Size, -0.85."
Denied,Denied,"This application was denied due to Income Category, Housing Type, -0.13, Marital Status, Work Phone, -0.85, Occupation, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Marital Status, Work Phone, Car Ownership, Occupation, Phone, Age (Days), Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Marital Status, Work Phone, Car Ownership, Phone, Occupation, Education Level, Family Size, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Number of Children, Phone, Occupation, -0.85."
Denied,Denied,"This application was denied due to Housing Type, Income Category, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone, -1.05, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Number of Children, Phone, Occupation, -0.85, -0.77."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Number of Children, Phone, Occupation, -0.85."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Email, Employment Duration (Days), Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.13, -0.82, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, -0.82, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Age (Days), Phone."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.13, Work Phone, -0.82, Education Level, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.82, Work Phone, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, -0.82, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, Work Phone, -0.82, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, -0.13, Work Phone, -0.82, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Employment Duration (Days), Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.13, -0.82, Work Phone, Education Level, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Employment Duration (Days), Income Category, Email, Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Housing Type, -1.62, Income Category, Employment Duration (Days), Email, Work Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Education Level, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Employment Duration (Days), Income Category, Work Phone, Car Ownership, Phone, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Car Ownership, Occupation."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Car Ownership, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Marital Status, Car Ownership, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Car Ownership, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Car Ownership, Occupation."
Denied,Denied,"This application was denied due to -1.62, Email, Marital Status, Housing Type, Car Ownership, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Car Ownership, Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Marital Status, Car Ownership, Occupation, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Work Phone, Car Ownership, Phone, -0.27, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, Housing Type, Work Phone, -0.27, Car Ownership, Phone, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Employment Duration (Days), Income Category, Housing Type, Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Housing Type, Email, Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Email, Housing Type, Work Phone, Phone, -0.27, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to Income Category, Employment Duration (Days), Email, Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Income Category, Housing Type, Employment Duration (Days), Email, Work Phone, Car Ownership, Phone, Education Level."
Denied,Denied,"This application was denied due to Email, Income Category, Housing Type, Employment Duration (Days), Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Income Category, Employment Duration (Days), Email, Housing Type, Work Phone, Car Ownership, Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Income Category, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Work Phone, Phone, Car Ownership, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.82, Car Ownership, Phone, Family Size, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, -0.13, Work Phone, Car Ownership, -0.27, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Income Category, -0.13, Work Phone, Car Ownership, -0.27, -0.85, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Income Category, Housing Type, -0.13, Work Phone, Car Ownership, -0.27, -0.85, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, Phone, -0.27, -0.15."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Work Phone, Car Ownership, Phone, Age (Days), Family Size."
Denied,Denied,"This application was denied due to Income Category, Email, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Email, Employment Duration (Days), Income Category, Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, Income Category, Housing Type, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Income Category, Employment Duration (Days), Email, Housing Type, Marital Status, Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to Income Category, Email, Housing Type, Employment Duration (Days), Marital Status, Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to Email, Income Category, Employment Duration (Days), Housing Type, Marital Status, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Phone, Car Ownership, Family Size."
Denied,Denied,"This application was denied due to Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Family Size, Age (Days)."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.82, Car Ownership, -0.27, Age (Days), Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Car Ownership, Number of Children, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Car Ownership, Number of Children, -0.85."
Denied,Denied,"This application was denied due to Income Category, -1.62, Housing Type, Employment Duration (Days), Email, Work Phone, Car Ownership, Phone."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Income Category, Employment Duration (Days), Work Phone, Car Ownership, Phone, Family Size, Annual Income."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Housing Type, Employment Duration (Days), Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Employment Duration (Days), Income Category, Work Phone, Car Ownership, Phone, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, -0.57, Work Phone, -0.82, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, -0.82, -0.57, Phone, Age (Days), -0.20, -0.77."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, -0.57, -0.82, Phone, Age (Days), -0.20."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Email, Marital Status, Work Phone, -0.13, -0.27, Car Ownership, Phone, -0.15."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Income Category, Email, Marital Status, -0.13, Work Phone, Car Ownership, -0.27, Phone, -0.15, Family Size."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Income Category, -0.13, Work Phone, Number of Children, Car Ownership, Phone, -0.85."
Denied,Denied,"This application was denied due to -1.62, Email, Income Category, Employment Duration (Days), Housing Type, Work Phone, Car Ownership, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Email, Housing Type, -0.13, Work Phone, Car Ownership, Number of Children, Phone."
Denied,Denied,"This application was denied due to Email, -1.62, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Education Level."
Denied,Denied,"This application was denied due to -1.62, Income Category, Housing Type, Employment Duration (Days), Email, Work Phone, Car Ownership, Education Level."
Denied,Denied,"This application was denied due to -1.62, Housing Type, Email, Income Category, Employment Duration (Days), Work Phone, Car Ownership, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Email, Housing Type, Work Phone, Car Ownership, Education Level."
Denied,Denied,"This application was denied due to -1.62, Email, Employment Duration (Days), Income Category, Housing Type, Work Phone, Car Ownership, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Income Category, Employment Duration (Days), Email, Housing Type, Car Ownership, Work Phone, Education Level, Family Size."
Denied,Denied,"This application was denied due to Email, -1.62, Housing Type, Work Phone, Phone, Age (Days), Occupation, Education Level, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Phone, Education Level, Age (Days), Occupation, Family Size."
Denied,Denied,"This application was denied due to -1.62, Email, Housing Type, Work Phone, Education Level, Age (Days), Occupation, Phone, Family Size."
